line,character,dialogue,sentiment,entities
1,SHUTTLE CAPTAIN,"Command station, this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield.",-0.4671992007575889,"['ST 321', 'Clearance Blue']"
2,DEATH STAR CONTROLLER,The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed.,-0.4614498279553727,[]
3,SHUTTLE CAPTAIN,We're starting our approach.,-0.21492169257506522,[]
4,OFFICER,Inform the commander that Lord Vader's shuttle has arrived.,-0.33143526540380375,['Vader']
5,OPERATOR,"Yes, sir.",0.13560309275436833,[]
6,JERJERROD,"Lord Vader, this is an unexpected pleasure.  We're honored by your presence.",-0.30444130599004926,[]
7,VADER,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule.",0.25385623826578807,[]
8,JERJERROD,"I assure you, Lord Vader, my men are working as fast as they can.",-0.024702846062341743,['Vader']
9,VADER,Perhaps I can find new ways to motivate them.,-0.15327747893901522,[]
10,JERJERROD,"I tell you, this station will be operational as planned.",-0.025257388622627497,[]
11,VADER,The Emperor does not share your optimistic appraisal of the situation.,-0.03759279948712213,[]
12,JERJERROD,But he asks the impossible. I need more men.,-0.06409032410191506,[]
13,VADER,Then perhaps you can tell him when he arrives.,0.1103583012693472,[]
14,JERJERROD,The Emperor's coming here?,-0.6122276026348581,[]
15,VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress.",-0.1642171429606234,[]
16,JERJERROD,We shall double our efforts.,-0.5145433038582092,[]
17,VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am.",0.2902166903237895,[]
18,THREEPIO,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place.",-0.2823021615080963,"['Lando Calrissian', 'Chewbacca']"
19,THREEPIO,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit.",-0.15981834234427583,"['half', 'Jabba', 'Hutt']"
20,THREEPIO,"Artoo, are you sure this is the right place? I better knock, I suppose.",0.1125637853093775,['Artoo']
21,THREEPIO,There doesn't seem to be anyone there. Let's go back and tell Master Luke.,-0.2748976710637121,['Master Luke']
22,STRANGE VOICE,Tee chuta hhat yudd!,-0.2911098970894901,[]
23,THREEPIO,Goodness gracious me!,0.6888367823406922,[]
24,THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.,-0.7894576411002114,"['Detoowha bo', 'Jabba du Hutt']"
25,THREEPIO,"I don't think they're going to let us in, Artoo. We'd better go.",-0.20511153443773256,['Artoo']
26,THREEPIO,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this.",-0.31291631094060834,"['Artoo', 'Artoo', 'Artoo']"
27,THREEPIO,"Oh, Artoo!  Artoo, wait for me!",-0.14479342004843931,"['Artoo', 'Artoo']"
28,THREEPIO,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no.",-0.06723111354146627,['Luke']
29,BIB,Die Wanna Wanga!,-0.4119598999498535,[]
30,THREEPIO,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt.",-0.2968652863127965,"['Die Wanna Wauaga', 'Jabba', 'Hutt']"
31,THREEPIO,"... and a gift.  Gift, what gift?",0.4503835101569209,[]
32,BIB,Nee Jabba no badda. Me chaade su goodie.,-0.5705836795119943,"['Nee Jabba', 'chaade su']"
33,THREEPIO,He says that our instructions are to give it only to Jabba himself.,-0.23846408824393195,['Jabba']
34,THREEPIO,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.,-0.1789635073361593,[]
35,BIB,Nudd Chaa.,-0.80646973927332,['Nudd Chaa']
36,THREEPIO,"Artoo, I have a bad feeling about this.",-0.3433021452869167,['Artoo']
37,THREEPIO,Good morning.,0.23842519648759497,['morning']
38,JABBA,Bo Shuda!,-0.6821319461475677,['Bo Shuda']
39,THREEPIO,"The message, Artoo, the message.",-0.4175152560306019,['Artoo']
40,LUKE,"Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life.  With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids.",0.04404003937848633,"['One', 'Luke Skywalker', 'Jedi Knight', 'Solo', 'Jabba', 'Solo', 'Solo', 'two']"
41,THREEPIO,What did he say?,-0.20855150553282176,[]
42,LUKE,... Both are hardworking and will serve you well.,0.4976480179463878,[]
43,THREEPIO,"This can't be! Artoo, you're playing the wrong message.",-0.2382700587951867,['Artoo']
44,JABBA,There will be no bargain.,-0.4419659096526567,[]
45,THREEPIO,We're doomed.,-0.6805049441101363,[]
46,JABBA,I will not give up my favorite decoration. I like Captain Solo where he is.,0.20956753883137735,['Solo']
47,THREEPIO,"Artoo, look! Captain Solo. And he's still frozen in carbonite.",-0.24023330422137112,"['Artoo', 'Solo']"
48,THREEPIO,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!,-0.3335764452954575,['Luke']
49,NINEDENINE,"Ah, good. New acquisitions. You are a protocol droid, are you not?",0.03712338091838485,[]
50,THREEPIO,"I am See-Threepio, human-cy...",0.03370892102261114,[]
51,NINEDENINE,Yes or no will do.,-0.6987923022325659,[]
52,THREEPIO,"Oh. Well, yes.",-0.0835776498125751,[]
53,NINEDENINE,How many languages do you speak?,-0.4726310694402571,[]
54,THREEPIO,"I am fluent in over six million forms of communication, and can readily...",-0.30440754953660787,['over six million']
55,NINEDENINE,Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him.,-0.36298819074549593,[]
56,THREEPIO,Disintegrated?,-0.9857371096622292,[]
57,NINEDENINE,Guard! This protocol droid might be useful. Fit him with a restraining bolt and take him back to His Excellency's main audience chamber.,-0.17137216737184646,"['Guard', 'droid']"
58,THREEPIO,"Artoo, don't leave me! Ohhh!",-0.30628240212974145,['Artoo']
59,NINEDENINE,"You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely.",0.36419345918745605,['Sail Barge']
60,JABBA,Da Eitha!,-0.15258666275066557,['Da Eitha']
61,OOLA,Na Chuba negatorie Na! Na! Natoota...,-0.49123482825012754,"['Na Chuba', 'Natoota']"
62,JABBA,Boscka!,-0.17674476537791617,['Boscka']
63,BOUSHH,I have come for the bounty on this Wookiee.,0.21702365676904511,[]
64,THREEPIO,"Oh, no! Chewbacca!",-0.4439275335190116,['Chewbacca']
65,JABBA,At last we have the mighty Chewbacca.,-0.5773383336451223,['Chewbacca']
66,THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!",-0.019677257032320705,['Worshipfulness']
67,THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.,0.011260243934297698,['Jabba']
68,BOUSHH,I want fifty thousand. No less.,-0.47935271191970696,['fifty thousand']
69,THREEPIO,"Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand.",-0.18620088343844232,"['Jabba', 'fifty thousand']"
70,THREEPIO,Because he's holding a thermal detonator.,-0.2711721978696511,[]
71,JABBA,This bounty hunter is my kind of scum. Fearless and inventive.,0.15305647255887167,[]
72,THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.,0.21935625391520475,"['Jabba', 'thirty-five']"
73,BOUSHH,Zeebuss.,-0.5117454174886562,[]
74,THREEPIO,He agrees!,0.10124806413250265,[]
75,BOUSHH,Just relax for a moment. You're free of the carbonite.,0.4297777417778046,[]
76,BOUSHH,Shhh. You have hibernation sickness.,-0.7524718223357507,[]
77,HAN,I can't see.,0.2406689089382803,[]
78,BOUSHH,You eyesight will return in time.,-0.10559537556703202,[]
79,HAN,Where am I?,-0.104283755547107,[]
80,BOUSHH,Jabba's palace.,-0.8843509154212073,['Jabba']
81,HAN,Who are you?,0.10638487199462632,[]
82,LEIA,Someone who loves you.,0.7045686542305505,[]
83,HAN,Leia!,-0.20980797056772693,['Leia']
84,LEIA,I gotta get you out of here.,0.18403220604276904,[]
85,HAN,What's that? I know that laugh.,0.19630885113962315,[]
86,HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault.",-0.2297009777832355,"['Jabba', 'Jabba']"
87,JABBA,"It's too late for that, Solo. You may have been a good smuggler, but now you're Bantha fodder.",-0.13081756443420178,['Bantha']
88,HAN,Look...,0.4092856418261388,[]
89,JABBA,Take him away!,-0.13080899426760495,[]
90,HAN,Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be a fool!,-0.010620069830660883,['Jabba']
91,JABBA,Bring her to me.,0.0973926116174344,[]
92,LEIA,We have powerful friends. You're gonna regret this...,0.05182899015200504,[]
93,JABBA,I'm sure.,0.6582433274401311,[]
94,LEIA,Ugh!,-0.7457518175877063,[]
95,THREEPIO,"Ohhh, I can't bear to watch.",-0.14983102088024558,[]
96,HAN,"Chewie? Chewie, is that you?",0.11902068253781528,"['Chewie', 'Chewie']"
97,HAN,Ah! Chew--Chewie!,-0.07788120893346573,"['Chew', 'Chewie']"
98,HAN,"Wait. I can't see, pal. What's goin' on?",0.12226192216079501,[]
99,HAN,"Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody.",-0.15604207113577928,"['Luke', 'Luke']"
